a,b,c
1,-0.008213486207929398,t
2,0.6490276441020264,x
3,1.0199871516347248,g
4,1.5736032901937498,j
5,1.7592193778950957,y
6,2.132634853934054,c
7,-0.5116256637215154,a
8,0.7426651915779622,c
9,0.9712908038041718,g
10,0.30487896935685105,f
11,1.64156594657409,n
12,-0.7270125056428407,v
13,0.5198601067230909,c
14,-1.5463536177972075,r
15,0.9805066193811595,d
16,0.3944873272436149,b
17,1.293590854423131,d
18,0.20120276706543966,a
19,-0.4192055332257191,r
20,-0.14965131406288887,d
21,-0.3872467452875147,q
22,-0.6120881641859597,u
23,-0.1855733466465752,s
24,0.7860411044820211,n
25,1.0132911411826235,j
26,-0.8676954027727514,j
27,0.3304321554727258,x
28,-1.5541217237476044,w
29,-1.202819365459256,l
30,-0.29730459599788817,w
31,1.5910397116287425,v
32,1.3469695973131404,d
33,1.9865716224335332,v
34,0.2180005688447217,e
35,-0.2265101990297693,q
36,-0.7122403020603683,o
37,-1.9879472823838313,g
38,-0.533178850547121,c
39,0.2535869701868686,v
40,0.1424132941877629,i
41,0.4712866942661897,d
42,-0.6673843454385209,y
43,-0.09462508511922617,s
44,-1.7805900027227146,t
45,0.44011344184774254,t
46,-2.6417348501351796,b
47,0.711108621724778,u
48,0.2575329100238306,x
49,-0.5809566047999858,h
50,-1.1311933156230738,d
51,-0.8420089674185683,s
52,-0.4780080176015228,s
53,-0.8923889704077084,t
54,0.4525869669275059,y
55,0.8463218022474083,m
56,0.057249962132976624,w
57,1.799673856370298,u
58,0.7144515984491953,n
59,-1.0742436117831844,d
60,0.03640932418977791,j
61,0.2311250022611458,n
62,0.85561941424724,o
63,0.7036709540329658,i
64,-0.22547022224415178,s
65,0.36613722369930757,e
