a,b,c
1,-0.4198357896183512,s
2,0.8994015653561043,h
3,-0.14604556320153209,m
4,0.45876673016519964,t
5,-2.2564969424568733,q
6,1.0210905139838855,l
7,0.06038119543137794,s
8,0.2929430691357345,p
9,1.4869557081765308,q
10,0.030925972300098522,n
11,-1.0531151066321705,d
12,-0.14036933256532613,v
13,0.12938500862051355,p
14,-0.29566286605185726,g
15,0.7741633148555345,j
16,-1.3729466583302359,n
17,0.9960027661975988,q
18,-1.9726389156553035,l
19,0.6409428045305254,m
20,-0.33511196613895416,m
21,1.6379185334183022,t
22,0.6583955089060084,a
23,-0.3812494863338932,g
24,-0.5448137557917058,t
25,-0.17133882597632602,v
26,0.6850790403772506,v
27,-0.8428899487563019,x
28,-0.4261733319960332,w
29,-1.550261477992939,c
30,-1.0478941023913355,m
31,1.2843257928627423,i
32,-2.947715499257099,f
33,-0.5509102078210193,e
34,0.12057930627100577,d
35,0.2978318770253596,h
36,1.1692152302567362,x
37,2.6846610158023037,d
38,-0.14526197669560026,p
39,1.7068848076117702,k
40,0.1088934027364689,a
41,1.5153642587210163,y
42,-1.351095681369682,h
43,-1.1923317262612314,x
44,0.7701066389367311,v
45,1.0691233357234358,j
46,-0.410772491772095,i
