a,b,c
1,-1.4695560552851639,r
2,-0.5995281117876767,p
3,-1.0744156958493687,j
4,1.0566492717664044,h
5,-0.7822887843479688,s
6,-0.29110207579053266,o
7,-0.07617835964486176,e
8,-1.4975053093518433,i
9,1.3784438546880575,b
10,0.9011440776179844,x
11,0.4899909671711987,h
12,-1.1577319510122839,f
13,0.4657773120750467,e
14,1.98653511556508,g
15,-1.3855701970095569,f
16,-1.0116477824226344,l
17,-0.05164728307086587,n
18,1.8201468374621643,w
19,1.7543611535220802,k
20,0.10596030859018273,y
21,-0.22712597888441682,n
22,-0.6391762350807617,h
23,-0.3529611372491526,r
24,0.42510338884162496,y
25,-2.280154562966573,t
26,0.14895167745831034,l
27,-0.42155182512756456,x
28,1.944809509205016,m
29,-1.814470093513167,j
30,0.9271929100344134,z
31,0.07385101600958602,b
32,0.20652011574169873,m
33,1.5446727563278384,e
34,-1.0112519243680111,w
