a,b,c
1,0.996124891114171,y
2,2.063546412964458,x
3,0.044173145770798984,v
4,-1.6702596433105004,z
5,0.8395967261022657,k
6,0.2950112028531603,i
7,-0.6163396543486892,d
8,1.5345976207040495,q
9,0.07060059226988472,p
10,0.605040100252737,x
11,0.10171236874719908,j
12,-1.5308259737153853,j
13,-0.2652235239536353,c
14,-2.5520048332386507,i
15,0.8223482127545213,t
16,0.38586351966976207,i
17,0.3679071076556798,w
18,2.0234639167020556,z
19,-0.08946745400030884,a
20,0.5229799959518878,d
21,-1.1166677762188673,o
22,0.7486243648308321,w
23,-1.8406221420127746,o
24,0.8362087884150914,t
25,-0.44067901886404315,f
26,0.8362663387039717,q
27,1.2053902885917853,f
28,-0.2558157646295161,g
29,-0.4782662793415147,f
30,-0.08646694496044445,n
31,0.38880180733148406,p
32,-1.639796243899918,b
33,-0.5472829243333194,w
34,0.9544266604939593,c
35,0.9565095622188136,c
36,-2.2792916314848366,c
37,1.217281836525028,l
38,0.36832391505309525,g
39,-0.9706459847080847,w
40,0.6245687238856455,a
