a,b,c
1,1.4870020342638033,j
2,0.660829599582896,k
3,-0.6632714247973535,k
4,-1.549371695060326,x
5,0.9176527181733217,a
6,-0.7337212371939941,m
7,1.3049746896423642,c
8,0.2345910982429688,d
9,1.4433144645448872,c
10,-2.082868343685916,g
11,-0.9523179140130467,s
12,0.9880810232595482,f
13,-0.6911291198672719,q
14,-0.49099898340792747,t
15,-2.2601556460546592,g
16,-1.4037644563175178,u
17,0.8090480513663981,l
18,1.5503962334058048,m
19,0.4545276041797026,c
20,1.3821361451744894,y
21,1.3205589340612498,n
22,-1.0992120728867156,y
23,0.31943222065917115,p
24,0.42847771981536564,e
25,0.47333970672298004,i
26,-0.9571791470481147,l
27,0.17540336896187309,a
28,-0.13026966588526026,j
