a,b,c
1,0.1542894424167268,c
2,-0.5573768329597589,x
3,0.9662488599845979,u
4,-0.9821626335604801,m
5,-0.6625598789329743,z
6,-1.320930443400728,q
7,0.766646201055567,t
8,0.6891662613267174,o
9,-0.33271068628725314,x
10,-1.240834832947097,p
11,0.2018492173956218,y
12,-0.9665802113878347,p
13,-0.7771300160876617,q
14,-0.8750717013927775,p
15,0.2009147048203599,y
16,1.607109201273399,h
17,-0.9377510282315767,n
18,-0.27591205175947353,k
19,1.6184948103111119,r
20,-1.0648923088300761,i
21,0.028751846647441265,u
22,-1.0561817001719693,s
23,-0.9183398305160502,i
24,0.008225536022634997,n
25,-1.061404170942015,w
26,0.6869614573700343,g
27,0.06473015935121518,m
28,-0.7653673850355791,k
29,-0.300930736874129,k
30,0.699972904189676,y
31,0.03619696547485337,m
32,0.6840416227330118,a
33,0.637844236709491,a
34,1.7388355624443441,p
35,-0.06540982180182325,j
36,-0.14302688017663814,v
37,-1.6965856632628649,w
38,1.8901392900397145,w
39,0.5663680290685028,n
40,-1.0471935636791314,o
41,0.744864568008469,n
42,0.20374287685301073,x
43,1.5524031626589803,w
44,-0.3816084096251022,n
45,-1.0715124077061127,i
46,-1.47136690821963,r
47,1.368119279181264,v
48,-0.18140438605883713,a
49,-1.1348115232912863,a
50,-0.018193646455172643,u
51,0.6782019385770924,n
52,1.5898691117733816,v
