a,b,c
1,-1.4785789110472805,a
2,0.6321291685520877,w
3,-1.0033789983978803,o
4,-0.9592670927870137,g
5,-1.383493405708527,r
6,-0.285648890050517,s
7,0.2719255271220433,p
8,1.4632212199169783,d
9,-0.3713549651436012,d
10,-0.11764184315372544,s
11,-0.6213720645099718,s
12,0.9441171137438362,g
13,1.0874216236126149,s
14,2.724930560382825,y
15,1.0774234910535843,t
16,0.37912993927731836,p
17,-0.7193911038600923,a
18,0.2743279703775157,z
19,-1.0729031129746964,l
20,-0.33478013370578363,g
21,0.3933638741292309,o
22,0.7141521236794979,i
23,-0.0712185684379546,j
24,-1.425745231176109,p
25,1.606051677184746,o
26,1.1263806244093169,x
27,-0.5118641777975029,i
28,-0.557309440693383,w
29,0.5304824492719993,f
30,-0.09379372614580561,y
31,-0.23616209692162035,y
32,-0.5632326121655084,r
33,0.5264224117332691,m
34,-1.01079112982887,t
